"Sample_ID","sample_type","loc.asv","ASV","reads","extraction_ID","pcr_replicate","alt_ID","tank_ID","station_ID","combined_column"
"e02496-A","sample","14.ASV1","ASV1",26372,"e02496","A","234","14",NA,"14"
"e02496-A","sample","14.ASV2","ASV2",118,"e02496","A","234","14",NA,"14"
"e02496-A","sample","14.ASV13","ASV13",0,"e02496","A","234","14",NA,"14"
"e02497-A","sample","14.ASV1","ASV1",21874,"e02497","A","272","14",NA,"14"
"e02497-A","sample","14.ASV2","ASV2",413,"e02497","A","272","14",NA,"14"
"e02497-A","sample","14.ASV13","ASV13",0,"e02497","A","272","14",NA,"14"
"e02498-A","sample","14.ASV1","ASV1",15547,"e02498","A","150","14",NA,"14"
"e02498-A","sample","14.ASV2","ASV2",39,"e02498","A","150","14",NA,"14"
"e02498-A","sample","14.ASV13","ASV13",0,"e02498","A","150","14",NA,"14"
"e02496-B","sample","14.ASV1","ASV1",52231,"e02496","B","234","14",NA,"14"
"e02496-B","sample","14.ASV2","ASV2",215,"e02496","B","234","14",NA,"14"
"e02496-B","sample","14.ASV13","ASV13",0,"e02496","B","234","14",NA,"14"
"e02497-B","sample","14.ASV1","ASV1",48211,"e02497","B","272","14",NA,"14"
"e02497-B","sample","14.ASV2","ASV2",518,"e02497","B","272","14",NA,"14"
"e02497-B","sample","14.ASV13","ASV13",0,"e02497","B","272","14",NA,"14"
"e02498-B","sample","14.ASV1","ASV1",42884,"e02498","B","150","14",NA,"14"
"e02498-B","sample","14.ASV2","ASV2",65,"e02498","B","150","14",NA,"14"
"e02498-B","sample","14.ASV13","ASV13",0,"e02498","B","150","14",NA,"14"
"e02496-C","sample","14.ASV1","ASV1",40726,"e02496","C","234","14",NA,"14"
"e02496-C","sample","14.ASV2","ASV2",108,"e02496","C","234","14",NA,"14"
"e02496-C","sample","14.ASV13","ASV13",1,"e02496","C","234","14",NA,"14"
"e02497-C","sample","14.ASV1","ASV1",36596,"e02497","C","272","14",NA,"14"
"e02497-C","sample","14.ASV2","ASV2",539,"e02497","C","272","14",NA,"14"
"e02497-C","sample","14.ASV13","ASV13",0,"e02497","C","272","14",NA,"14"
"e02498-C","sample","14.ASV1","ASV1",31335,"e02498","C","150","14",NA,"14"
"e02498-C","sample","14.ASV2","ASV2",86,"e02498","C","150","14",NA,"14"
"e02498-C","sample","14.ASV13","ASV13",0,"e02498","C","150","14",NA,"14"
"e02362-A","sample","2.ASV1","ASV1",4199,"e02362","A","435","2",NA,"2"
"e02362-A","sample","2.ASV3","ASV3",917,"e02362","A","435","2",NA,"2"
"e02362-A","sample","2.ASV4","ASV4",21603,"e02362","A","435","2",NA,"2"
"e02362-A","sample","2.ASV6","ASV6",1583,"e02362","A","435","2",NA,"2"
"e02362-A","sample","2.ASV8","ASV8",65,"e02362","A","435","2",NA,"2"
"e02362-A","sample","2.ASV13","ASV13",2,"e02362","A","435","2",NA,"2"
"e02362-A","sample","2.ASV37","ASV37",0,"e02362","A","435","2",NA,"2"
"e02362-A","sample","2.ASV346","ASV346",0,"e02362","A","435","2",NA,"2"
"e02363-A","sample","2.ASV1","ASV1",3224,"e02363","A","393","2",NA,"2"
"e02363-A","sample","2.ASV3","ASV3",1177,"e02363","A","393","2",NA,"2"
"e02363-A","sample","2.ASV4","ASV4",24024,"e02363","A","393","2",NA,"2"
"e02363-A","sample","2.ASV6","ASV6",2844,"e02363","A","393","2",NA,"2"
"e02363-A","sample","2.ASV8","ASV8",131,"e02363","A","393","2",NA,"2"
"e02363-A","sample","2.ASV13","ASV13",22,"e02363","A","393","2",NA,"2"
"e02363-A","sample","2.ASV37","ASV37",0,"e02363","A","393","2",NA,"2"
"e02363-A","sample","2.ASV346","ASV346",0,"e02363","A","393","2",NA,"2"
"e02366-A","sample","2.ASV1","ASV1",6266,"e02366","A","446","2",NA,"2"
"e02366-A","sample","2.ASV3","ASV3",985,"e02366","A","446","2",NA,"2"
"e02366-A","sample","2.ASV4","ASV4",19928,"e02366","A","446","2",NA,"2"
"e02366-A","sample","2.ASV6","ASV6",1921,"e02366","A","446","2",NA,"2"
"e02366-A","sample","2.ASV8","ASV8",0,"e02366","A","446","2",NA,"2"
"e02366-A","sample","2.ASV13","ASV13",3,"e02366","A","446","2",NA,"2"
"e02366-A","sample","2.ASV37","ASV37",0,"e02366","A","446","2",NA,"2"
"e02366-A","sample","2.ASV346","ASV346",0,"e02366","A","446","2",NA,"2"
"e02362-B","sample","2.ASV1","ASV1",5360,"e02362","B","435","2",NA,"2"
"e02362-B","sample","2.ASV3","ASV3",772,"e02362","B","435","2",NA,"2"
"e02362-B","sample","2.ASV4","ASV4",25224,"e02362","B","435","2",NA,"2"
